日期,交易类型,股票名称,最后持有股票数量,交易股票数量,交易价格,交易金额,交易成本,交易前股票数量,交易后股票数量,DCF价值,行业,估值比%,价值比描述,估值描述,价值过滤器,超买超卖过滤器,动量过滤器,价格成交量过滤器,满足维度数,actionDesc,收盘价,成交量,RSI指标,MACD DIF,MACD DEA,MACD HIST,boll_upper,boll_middle,量能倍数,行业RSI极端超买阈值,行业RSI极端超卖阈值,行业RSI超买阈值,行业RSI超卖阈值
2024-12-30,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.37,价值比0.37,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,34.05,333775.0,49.24,1.38,1.17,0.21,41.9,33.94,0.62,71.46,41.31,68.0,44.52
2025-01-13,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.79,价值比0.79,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,15.97,1616976.0,38.79,-0.74,-0.55,-0.19,20.02,17.45,1.01,61.14,39.72,59.72,41.71
2025-01-20,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.8,价值比0.80,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,16.0,1556681.0,39.02,-0.76,-0.59,-0.17,20.04,17.42,0.95,61.14,39.72,59.72,41.71
2025-01-27,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.38,价值比0.38,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,37.87,63425.0,57.72,1.43,1.29,0.14,41.21,35.83,0.16,71.46,41.31,68.0,44.52
2025-01-27,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.81,价值比0.81,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,16.13,352892.0,40.08,-0.76,-0.63,-0.13,20.02,17.44,0.26,61.14,39.72,59.72,41.71
2025-02-05,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.37,价值比0.37,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,37.31,320914.0,55.95,1.38,1.31,0.07,40.37,36.28,0.9,71.46,41.31,68.0,44.52
2025-02-05,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.49,价值比0.49,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,17.96,1034250.0,50.88,-0.05,-0.25,0.21,20.06,17.8,0.85,75.82,45.34,73.89,47.38
2025-02-05,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.81,价值比0.81,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,16.2,1019707.0,40.69,-0.74,-0.65,-0.09,19.98,17.46,0.9,61.14,39.72,59.72,41.71
2025-02-10,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.5,价值比0.50,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,17.88,1705515.0,50.52,-0.03,-0.21,0.18,20.03,17.78,1.56,75.82,45.34,73.89,47.38
2025-02-10,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.67,价值比0.67,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,16.69,2295746.0,61.65,0.82,0.58,0.23,17.25,15.05,1.42,75.82,45.34,73.89,47.38
2025-02-10,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.81,价值比0.81,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,16.25,2352962.0,41.14,-0.72,-0.66,-0.05,19.9,17.36,1.78,61.14,39.72,59.72,41.71
2025-02-17,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.48,价值比0.48,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,17.61,1713654.0,49.28,-0.04,-0.17,0.14,19.62,17.66,1.44,75.82,45.34,73.89,47.38
2025-02-17,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.64,价值比0.64,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,16.1,2026802.0,57.52,0.79,0.62,0.17,17.36,15.12,1.34,75.82,45.34,73.89,47.38
2025-02-17,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.43,价值比0.43,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.0,783365.0,46.45,-0.2,-0.25,0.04,23.3,21.58,1.13,75.82,45.34,73.89,47.38
2025-02-17,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.82,价值比0.82,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,16.29,2272394.0,41.52,-0.69,-0.67,-0.02,19.38,17.17,1.52,61.14,39.72,59.72,41.71
2025-03-17,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.55,价值比0.55,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,18.95,1410939.0,53.71,0.32,0.07,0.26,20.33,17.86,0.82,75.82,45.34,73.89,47.38
2025-03-17,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.44,价值比0.44,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,22.02,1409504.0,53.33,-0.03,-0.17,0.14,22.68,21.36,1.19,75.82,45.34,73.89,47.38
2025-03-24,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.55,价值比0.55,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,18.71,1374719.0,52.55,0.32,0.12,0.2,20.17,17.81,0.85,75.82,45.34,73.89,47.38
2025-03-31,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.52,价值比0.52,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,18.35,662986.0,50.78,0.28,0.15,0.13,20.19,17.82,0.53,75.82,45.34,73.89,47.38
2025-03-31,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.69,价值比0.69,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,16.85,1416826.0,56.36,0.94,0.88,0.06,19.0,15.87,0.85,75.82,45.34,73.89,47.38
2025-03-31,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.46,价值比0.46,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,22.34,1152129.0,53.61,0.16,-0.05,0.21,22.87,21.4,0.6,75.82,45.34,73.89,47.38
2025-04-07,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.4,价值比0.40,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,20.71,1927320.0,44.82,0.05,-0.03,0.09,22.87,21.37,0.94,75.82,45.34,73.89,47.38
2025-04-14,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.43,价值比0.43,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.1,1103291.0,47.06,0.0,-0.03,0.03,22.87,21.38,0.56,75.82,45.34,73.89,47.38
2025-04-21,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.44,价值比0.44,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.6,1157995.0,49.86,-0.0,-0.02,0.02,22.89,21.38,0.87,75.82,45.34,73.89,47.38
2025-05-19,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.43,价值比0.43,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.66,547025.0,50.36,-0.01,-0.02,0.01,22.89,21.53,1.03,75.82,45.34,73.89,47.38
2025-06-16,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.44,价值比0.44,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,21.59,555060.0,49.41,0.06,0.02,0.04,22.99,21.7,0.83,75.82,45.34,73.89,47.38
2025-07-14,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.33,价值比0.33,"明显低估0.66, 建议加仓比例:20%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,33.91,1364047.0,56.31,-0.39,-0.88,0.49,35.87,31.34,1.45,71.46,41.31,68.0,44.52
2025-09-01,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.41,价值比0.41,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,42.56,1580787.0,68.31,2.3,1.08,1.22,43.81,34.02,1.05,71.46,41.31,68.0,44.52
2025-09-01,buy,天齐锂业(002466),10500,1100,43.78,48220.61,62.61,9400.0,10500.0,75.0,能源金属,0.59,价值比0.59,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,46.35,3561700.0,72.98,3.38,1.87,1.51,47.36,34.85,1.0,81.07,30.7,76.07,34.75
2025-09-01,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.69,价值比0.69,"明显低估0.69, 建议加仓比例:20%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,19.18,2372430.0,65.12,0.76,0.42,0.35,18.94,16.2,1.1,75.82,45.34,73.89,47.38
2025-09-01,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.5,价值比0.50,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,29.39,4291980.0,74.42,1.36,0.74,0.62,27.71,23.35,1.58,75.82,45.34,73.89,47.38
2025-09-08,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.41,价值比0.41,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,42.28,1500289.0,67.34,2.48,1.36,1.12,44.83,34.69,1.07,71.46,41.31,68.0,44.52
2025-09-08,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.54,价值比0.54,"极度低估0.54, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,30.97,2959660.0,77.42,1.74,0.94,0.8,29.27,23.82,0.99,75.82,45.34,73.89,47.38
2025-09-15,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.42,价值比0.42,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,42.86,1209178.0,68.34,2.64,1.61,1.03,45.79,35.37,0.86,71.46,41.31,68.0,44.52
2025-09-22,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.44,价值比0.44,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,44.56,1246376.0,71.16,2.87,1.87,1.01,46.92,36.13,0.9,71.46,41.31,68.0,44.52
2025-09-29,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.43,价值比0.43,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,49.5,675731.0,77.43,3.42,2.18,1.24,49.03,37.1,0.58,71.46,41.31,68.0,44.52
2025-09-29,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.55,价值比0.55,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,20.01,902584.0,60.25,0.6,0.39,0.21,20.81,18.14,0.46,75.82,45.34,73.89,47.38
2025-10-09,buy,天齐锂业(002466),10500,0,0.0,0.0,0.0,,,75.0,能源金属,0.6,价值比0.60,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,47.65,2024760.0,70.81,3.95,3.13,0.82,52.39,38.99,0.83,81.07,30.7,76.07,34.75
2025-10-09,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.55,价值比0.55,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.65,1562340.0,67.2,0.77,0.47,0.3,21.4,18.38,0.92,75.82,45.34,73.89,47.38
2025-10-13,buy,天齐锂业(002466),10500,0,0.0,0.0,0.0,,,75.0,能源金属,0.6,价值比0.60,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,46.55,2994571.0,67.17,3.92,3.29,0.63,52.79,39.88,1.22,81.07,30.7,76.07,34.75
2025-10-20,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.54,价值比0.54,"极度低估0.59, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,24.05,3587376.0,74.56,1.21,0.69,0.52,23.06,19.06,1.49,75.82,45.34,73.89,47.38
2025-10-27,buy,天齐锂业(002466),10500,0,0.0,0.0,0.0,,,75.0,能源金属,0.66,价值比0.66,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,53.4,5447692.0,75.92,4.42,3.63,0.79,54.77,41.95,1.67,81.07,30.7,76.07,34.75
2025-10-27,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.59,价值比0.59,"极度低估0.59, 建议加仓比例:50%",Y,Y,N,Y,3/4,买入信号: 价值过滤器 + 3个买入维度,24.73,2919340.0,76.23,1.45,0.85,0.61,24.06,19.44,1.0,75.82,45.34,73.89,47.38
2025-12-15,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.67,价值比0.67,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,65.88,1411297.0,73.05,7.77,6.55,1.21,72.02,52.0,1.02,71.46,41.31,68.0,44.52
2025-12-22,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.66,价值比0.66,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,80.22,1458161.0,81.22,8.9,7.02,1.88,76.79,54.04,1.1,71.46,41.31,68.0,44.52
2026-01-12,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.83,价值比0.83,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,15.97,3078250.0,36.31,-0.3,-0.07,-0.22,19.7,17.84,1.69,61.14,39.72,59.72,41.71
2026-01-19,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.84,价值比0.84,"合理区间0.85, 建议减仓比例:-50%",Y,Y,N,Y,3/4,卖出信号: 价值过滤器 + 3个卖出维度,33.84,49664674.0,85.22,1.06,0.15,0.9,26.03,18.63,3.57,61.14,39.72,59.72,41.71
2026-01-26,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.85,价值比0.85,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,33.75,90024379.0,84.87,2.1,0.54,1.56,29.37,19.34,2.49,61.14,39.72,59.72,41.71
